ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
TSM,GICS_45,Carhart,0.007654,1.16286,0.409442,-0.793247,-0.408671
MANH,GICS_45,Carhart,0.017202,1.973161,0.316113,-0.892091,0.070291
CTSH,GICS_45,Carhart,0.014003,1.029649,0.395107,-0.229604,-0.266708
NVDA,GICS_45,Carhart,0.02384,1.655434,0.709784,-0.954108,-0.371508
SNOW,GICS_45,Carhart,0.026132,2.988095,0.60863,-0.791131,-0.918218
UTSI,GICS_45,Carhart,-0.015409,1.172055,1.06178,-0.360257,-0.703623
VRA,GICS_25,FF3,-0.028479,1.549825,0.965972,0.069909,
HCA,GICS_35,CAPM,0.010455,0.658167,,,
EXEL,GICS_35,CAPM,0.005699,1.924394,,,
NVS,GICS_35,CAPM,0.00455,0.37679,,,
CRL,GICS_35,CAPM,0.008153,0.861871,,,
INSM,GICS_35,CAPM,0.018276,1.738469,,,
ARNA,GICS_35,CAPM,0.009471,1.006267,,,
DPII,GICS_35,CAPM,0.002004,2.609004,,,
ILMN,GICS_35,CAPM,0.016605,1.363314,,,
PTIE,GICS_35,CAPM,-0.002171,1.364532,,,
ESPR,GICS_35,CAPM,0.026297,1.16261,,,
OSUR,GICS_35,CAPM,0.005626,1.045158,,,
V,GICS_45,Carhart,0.005866,1.120169,-0.298602,-0.513745,-0.120334
AVGO,GICS_45,Carhart,0.009257,1.367176,0.046896,-1.466626,-0.868502
PPHM,GICS_35,CAPM,0.008785,1.926068,,,
GSK,GICS_35,CAPM,-0.001077,0.501622,,,
RIGL,GICS_35,CAPM,0.000327,1.565079,,,
PAS,GICS_25,FF3,0.00619,0.72318,-0.014659,0.56613,
CPG,GICS_25,FF3,-0.004296,1.441658,0.94984,2.038681,
GRMN,GICS_25,FF3,0.008971,0.952971,0.663547,0.185311,
FLML,GICS_35,CAPM,0.009757,1.310172,,,
ALGN,GICS_35,CAPM,0.018117,2.072361,,,
EXAS,GICS_35,CAPM,0.022388,1.24238,,,
NCEH,GICS_45,Carhart,-0.019974,1.852674,2.287185,-1.393195,0.060741
SGEN,GICS_35,CAPM,0.014427,1.375353,,,
MOV,GICS_25,FF3,0.003229,0.865127,1.518059,1.193734,
SAP,GICS_45,Carhart,0.000991,1.42202,-0.367875,-0.526619,-0.270737
ZMH,GICS_35,CAPM,0.006019,0.736137,,,
EXEG,GICS_35,CAPM,-0.018799,2.149127,,,
IDNX,GICS_35,CAPM,0.002558,2.352876,,,
ONCY,GICS_35,CAPM,0.000754,2.034696,,,
ATH,GICS_35,CAPM,0.024764,0.191762,,,
ISIS,GICS_35,CAPM,0.010951,1.450172,,,
PYPL,GICS_45,Carhart,0.021378,1.292968,0.332933,-0.192462,0.668408
LCI,GICS_35,CAPM,0.009834,1.2094,,,
SNT,GICS_35,CAPM,-0.007019,0.953373,,,
SNY,GICS_35,CAPM,-0.000241,0.723554,,,
SWB,GICS_25,FF3,0.024409,1.155036,0.604894,-0.22711,
FL,GICS_25,FF3,0.00624,0.743331,1.085031,0.703077,
IHG,GICS_25,FF3,0.003599,1.359563,-0.055306,0.201241,
CPD,GICS_35,CAPM,-0.004524,1.836673,,,
BIIB,GICS_35,CAPM,0.008211,0.665731,,,
DEPO,GICS_35,CAPM,0.004192,1.462497,,,
CZR,GICS_25,FF3,0.006438,1.812917,0.820018,0.059842,
CYTK,GICS_35,CAPM,-0.005264,1.712407,,,
ACAD,GICS_35,CAPM,0.019436,2.083992,,,
ALNY,GICS_35,CAPM,0.015696,1.455884,,,
CRTX,GICS_35,CAPM,0.008465,0.101092,,,
CAAS,GICS_25,FF3,0.00558,2.254579,1.776485,0.330754,
ARWR,GICS_35,CAPM,0.015465,1.889276,,,
BBW,GICS_25,FF3,-0.004953,1.393201,0.509489,0.954763,
TXRH,GICS_25,FF3,0.006595,0.774841,0.848269,0.045672,
SHOP,GICS_45,Carhart,0.029528,1.629746,0.543162,-1.279669,0.340591
AKN,GICS_35,CAPM,0.007861,1.702056,,,
WLP,GICS_35,CAPM,0.004775,0.870495,,,
HTI,GICS_35,CAPM,0.076193,1.320235,,,
LVS,GICS_25,FF3,0.001446,2.294862,0.509597,0.875129,
QGEN,GICS_35,CAPM,0.005431,0.620681,,,
DXCM,GICS_35,CAPM,0.023195,0.958681,,,
TAL,GICS_25,FF3,0.010745,1.05599,1.106471,0.34805,
MHA,GICS_35,CAPM,-0.029054,-0.969265,,,
CMG,GICS_25,FF3,0.012715,1.060184,0.792635,-0.792974,
RPRX,GICS_35,CAPM,0.007228,0.446106,,,
AMAG,GICS_35,CAPM,0.000713,0.823018,,,
MA,GICS_45,Carhart,0.015449,1.233175,-0.333182,-0.684368,0.044534
SWHC,GICS_25,FF3,0.013073,1.182455,-0.030302,-0.985363,
HOG,GICS_25,FF3,-0.00162,1.350962,0.693885,1.183817,
INFI,GICS_35,CAPM,-0.002024,1.378646,,,
EDU,GICS_25,FF3,0.016513,1.027975,0.784645,-0.375505,
EHTH,GICS_35,CAPM,0.015717,0.622592,,,
UA,GICS_25,FF3,0.01175,1.098437,0.662134,-0.023374,
EBS,GICS_35,CAPM,0.017067,0.501727,,,
CPRX,GICS_35,CAPM,0.024147,1.091958,,,
AKRX,GICS_35,CAPM,-0.009625,1.01085,,,
AEO,GICS_25,FF3,-0.002894,1.003,0.62522,0.117887,
SNTA,GICS_35,CAPM,-0.012264,2.008029,,,
HALO,GICS_35,CAPM,0.008384,1.593282,,,
M,GICS_25,FF3,-0.001092,1.21639,1.116475,1.297259,
BIOD,GICS_35,CAPM,-0.023118,1.80271,,,
FOLD,GICS_35,CAPM,0.012657,1.211441,,,
PODD,GICS_35,CAPM,0.017001,1.244962,,,
OPK,GICS_35,CAPM,0.001746,1.478862,,,
LULU,GICS_25,FF3,0.015849,1.584041,0.493185,0.080108,
ULTA,GICS_25,FF3,0.011012,1.209461,0.678481,0.306603,
ENSG,GICS_35,CAPM,0.01591,0.855852,,,
TNDM,GICS_35,CAPM,0.008563,0.720037,,,
MRNA,GICS_35,CAPM,-0.00704,1.849311,,,
CLDX,GICS_35,CAPM,0.00045,2.574294,,,
