ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
NBRV,GICS_35,FF3,-0.064374,2.052746,-0.95476,-0.634215,
SBBP,GICS_35,FF3,-0.027025,1.781085,0.815415,-0.783467,
AXSM,GICS_35,FF3,0.059758,1.882254,1.857831,0.134552,
KURA,GICS_35,FF3,0.020894,1.554613,2.53729,-0.561098,
VYGR,GICS_35,FF3,-0.012145,0.928651,1.884484,-0.197113,
IONS,GICS_35,FF3,-0.002041,0.979962,1.496614,0.135511,
RETA,GICS_35,FF3,0.053457,1.155252,1.166159,0.059503,
MDGL,GICS_35,FF3,0.075226,0.269394,3.54548,0.096195,
PTGX,GICS_35,FF3,-0.003143,1.800258,0.826899,-2.31622,
CRSP,GICS_35,FF3,0.020119,2.167083,1.429103,-0.852963,
ALBO,GICS_35,FF3,-0.001539,1.670046,0.265734,-0.359237,
UAA,GICS_25,Carhart,0.010245,0.546024,2.027262,1.736182,0.253633
LCII,GICS_25,Carhart,0.00561,1.175969,0.904137,0.762521,-0.145754
AOBC,GICS_25,Carhart,-0.011408,0.59821,2.714076,-0.839863,-0.209843
AVDL,GICS_35,FF3,0.026052,0.882456,0.233617,1.859102,
ANAB,GICS_35,FF3,0.057349,-0.206261,0.554607,1.552561,
GOOS,GICS_25,Carhart,0.024842,1.219475,0.432821,0.986066,-0.366804
DXC,GICS_45,CAPM,-0.035592,2.432977,,,
DARE,GICS_35,FF3,-0.04632,1.957702,-0.71915,-0.993963,
ATNX,GICS_35,FF3,-0.007763,0.538004,2.014573,-0.262546,
KALA,GICS_35,FF3,-0.070455,0.982379,1.044681,-4.019456,
DCPH,GICS_35,FF3,0.019877,1.248092,1.359621,-0.876047,
APTV,GICS_25,Carhart,0.004787,1.732333,0.555692,0.385084,-0.490951
SFIX,GICS_25,Carhart,0.025001,1.436625,3.593351,-0.761689,-0.852306
APLS,GICS_35,FF3,0.033961,1.211887,1.239193,-0.310928,
CDMO,GICS_35,FF3,0.022698,1.790574,0.485948,-0.143996,
SYNH,GICS_35,FF3,0.003571,1.766859,0.435565,0.206752,
SLDB,GICS_35,FF3,0.056713,-0.246203,4.631899,1.405058,
EOLS,GICS_35,FF3,-0.039912,1.07973,8.315985,-2.406371,
SLGL,GICS_35,FF3,0.036674,0.601609,1.172155,2.078838,
BTAI,GICS_35,FF3,0.080291,0.094661,5.636822,-0.959673,
RCUS,GICS_35,FF3,0.020963,0.583399,3.060158,-0.470505,
DBX,GICS_45,CAPM,-0.018344,0.878047,,,
AMRX,GICS_35,FF3,-0.046043,0.900818,1.700555,-0.360523,
ELOX,GICS_35,FF3,-0.039506,1.750905,3.423776,-0.244276,
ASRT,GICS_35,FF3,-0.082594,1.710818,-0.769121,0.915221,
ELAN,GICS_35,FF3,-0.004137,0.836639,-0.543329,0.51629,
ORTX,GICS_35,FF3,-0.028313,1.04665,-0.003695,0.696756,
HROW,GICS_35,FF3,-0.002087,1.338643,2.110584,0.262844,
ORGO,GICS_35,FF3,0.012805,1.130395,1.462366,1.299404,
